financiamento;municipio_encaminhador;item_programacao;municipio_executor;quantidade_pactuada;valor_unitario;valor_total
MAC;Maturéia;MC/OBSTETRÍCIA;Campina Grande;15;706,62;10.599,30
MAC;Santa Terezinha;MC/OBSTETRÍCIA;Campina Grande;10;706,62;7.066,20
MAC;Patos;MC/OBSTETRÍCIA;Campina Grande;72;706,62;50.876,64
MAC;São José de Espinharas;MC/OBSTETRÍCIA;Campina Grande;14;706,62;9.892,68
MAC;Quixaba;MC/OBSTETRÍCIA;Campina Grande;3;706,62;2.119,86
MAC;Serra Grande;MC/OBSTETRÍCIA;Campina Grande;1;706,62;706,62
MAC;Itaporanga;MC/OBSTETRÍCIA;Campina Grande;51;706,62;36.037,62
MAC;São José do Brejo do Cruz;MC/OBSTETRÍCIA;Campina Grande;3;706,62;2.119,86
MAC;São Bento;MC/OBSTETRÍCIA;Campina Grande;20;706,62;14.132,40
MAC;Brejo dos Santos;MC/OBSTETRÍCIA;Campina Grande;15;706,62;10.599,30
MAC;Riacho dos Cavalos;MC/OBSTETRÍCIA;Campina Grande;10;706,62;7.066,20
MAC;Carrapateira;MC/OBSTETRÍCIA;Campina Grande;5;706,62;3.533,10
MAC;Cajazeiras;MC/OBSTETRÍCIA;Campina Grande;29;706,62;20.491,98
MAC;Bonito de Santa Fé;MC/OBSTETRÍCIA;Campina Grande;15;706,62;10.599,30
MAC;Bom Jesus;MC/OBSTETRÍCIA;Campina Grande;5;706,62;3.533,10
