====================================================================================================
RELATORIO SIGTAP - COMPETENCIA 06/2025
Valores extraidos do site SIGTAP para validacao
====================================================================================================

Total de procedimentos no SIGTAP para 06/2025: 125

==================================================================================================================================
TABELA COMPLETA DE PROCEDIMENTOS SIGTAP
==================================================================================================================================
Codigo       Nome                                               SA         SH         TA         SP         TH Complexidade          
                                                           Srv.Amb   Srv.Hosp    Tot.Amb   Srv.Prof   Tot.Hosp
----------------------------------------------------------------------------------------------------------------------------------
0202030989   PESQUISA DE ANTIGENO E DO VIRUS DA HEPATIT       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202031071   QUANTIFICAÇÃO DE RNA DO HIV-1                    0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202031110   TESTE NÃO TREPONEMICO P/ DETECÇÃO DE SIFIL       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202031179   TESTE NÃO TREPONEMICO P/ DETECÇÃO DE SIFIL       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202050017   ANALISE DE CARACTERES FISICOS, ELEMENTOS E       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202050041   CLEARANCE DE UREIA                               0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202050114   DOSAGEM DE PROTEINAS (URINA DE 24 HORAS)         0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202060217   DOSAGEM DE GONADOTROFINA CORIONICA HUMANA        0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202070026   DOSAGEM DE ACIDO HIPURICO                        0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202080196   PESQUISA DE ESTREPTOCOCOS BETA-HEMOLITICOS       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202090086   DOSAGEM DE CREATININA NO LIQUIDO AMNIOTICO       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202120023   DETERMINACAO DIRETA E REVERSA DE GRUPO ABO       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202120082   PESQUISA DE FATOR RH (INCLUI D FRACO)            0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202120090   TESTE INDIRETO DE ANTIGLOBULINA HUMANA (TI       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0205010032   ECOCARDIOGRAFIA TRANSTORACICA                    0.00      67.86      67.86       0.00      67.86 Média Complexidade    
0205010059   ULTRASSONOGRAFIA DOPPLER DE FLUXO OBSTETRI       0.00      42.90      42.90       0.00      42.90 Média Complexidade    
0205020046   ULTRASSONOGRAFIA DE ABDOMEN TOTAL                0.00      37.95      37.95       0.00      37.95 Média Complexidade    
0205020054   ULTRASSONOGRAFIA DE APARELHO URINÁRIO            0.00      24.20      24.20       0.00      24.20 Média Complexidade    
0205020089   ULTRASSONOGRAFIA DE GLOBO OCULAR / ORBITA        0.00      24.20      24.20       0.00      24.20 Média Complexidade    
0205020097   ULTRASSONOGRAFIA MAMARIA BILATERAL               0.00      24.20      24.20       0.00      24.20 Média Complexidade    
0205020143   ULTRASSONOGRAFIA OBSTETRICA                      0.00      24.20      24.20       0.00      24.20 Média Complexidade    
0205020151   ULTRASSONOGRAFIA OBSTETRICA C/ DOPPLER COL       0.00      39.60      39.60       0.00      39.60 Média Complexidade    
0205020160   ULTRASSONOGRAFIA PELVICA (GINECOLOGICA)          0.00      24.20      24.20       0.00      24.20 Média Complexidade    
0205020186   ULTRASSONOGRAFIA TRANSVAGINAL                    0.00      24.20      24.20       0.00      24.20 Média Complexidade    
0211020036   ELETROCARDIOGRAMA                                0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0211040061   TOCOCARDIOGRAFIA ANTE-PARTO                      0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0214010015   GLICEMIA CAPILAR                                 0.00       0.00       0.00       0.00       0.00 Atenção Básica        
0214010040   TESTE RAPIDO PARA DETECCAO DE HIV NA GESTA       0.00       1.00       1.00       0.00       1.00 Média Complexidade    
0214010058   TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PEL       0.00       1.00       1.00       0.00       1.00 Média Complexidade    
0301010048   CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIO       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0301010145   PRIMEIRA CONSULTA DE PEDIATRIA AO RECEM-NA       0.00       0.00       0.00      10.00      10.00 Média Complexidade    
0301010170   CONSULTA/AVALIAÇÃO EM PACIENTE INTERNADO         0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0301060088   DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA E       0.00      33.34       0.00      10.88      44.22 Média Complexidade    
0302010033   ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE N       0.00       6.35       0.00       0.00       6.35 Média Complexidade    
0302040013   ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE C       0.00       6.35       6.35       0.00       6.35 Média Complexidade    
